id_articulo,articulo,ultima_compra_mes
ART-e6afaf2958,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2018-06
ART-c0d553a424,CONTACTO: [person]- [phone]  -llamar en horario de 7:00h a 15:00h-,2025-03
ART-eeb610d522,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2025-10
ART-cdfc6bb487,VASO EXPANSION CALEF WAFT 10BAR 200L 11/4 CMR-P,2024-06
ART-b2ae801cfc,VASO EXPANSION 140L ACS,2025-07
ART-890fd3b15f,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2023-10
ART-6d745dfc50,CONTACTO: [person] [phone]  -llamar en horario de 7:00h a 15:00h-,2023-12
ART-5bf4d8e16e,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2023-11
ART-d1b2445703,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2022-10
ART-299b82e295,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2019-11
ART-8289f2cbb1,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2025-04
ART-88a81ba863,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2022-10
ART-1f29d7cfe2,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2025-11
ART-80ba525b61,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2025-07
ART-ef568b140b,00001,
ART-0a44338f8b,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2025-09
ART-38aee4b3ab,ABRAZADERA ISOFONICA 50 REFORZADA DESLIZANTE,2025-09
ART-22671d85b0,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2025-10
ART-d5237c0f10,CONTACTO: [person] Mª [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2025-08
ART-12e7ab63e3,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2025-09
ART-78f5d19143,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2015-10
ART-d86d8871a4,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2024-02
ART-5a114dbcee,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,
ART-2194abf60b,Mano Obra - Normal,
ART-f1825e9e16,Mano Obra - Festivo - Ofic.2ª,
ART-11f807e378,COSTE 1€  (solo para ofertas),2024-11
ART-0f159e5ab4,00001,
ART-ca77789ea7,00001,
ART-44d4c3cc68,Mano Obra - Ayudante,
ART-4986ce77db,"ARTICULO COMODIN -cambiar descripcion, evitar su uso si es posible-",2025-10
ART-ac52981640,CONMUT. INVERSOR 2 POS.,
ART-060ce11e75,Mano Obra SM - Ayudante,
ART-38ab238e08,00001,
ART-38805d2dd1,00001,
ART-b90b42a068,00001,
ART-8eb1ba264f,00001,
ART-63c1b91694,00001,
ART-96fe7ae70a,00001,
ART-78f61aa63e,00001,
ART-c904c5a4d7,00001,
ART-aefabf3b68,00001,
ART-ef86336d0e,00001,
ART-0cb3a0897a,00001,
ART-f3b69c5f88,00001,
ART-70c1a0f92d,00001,
ART-8b9ea1df3b,00001,
ART-7d46bf765c,00001,
ART-198786d688,00001,
ART-72580dd12b,00001,
ART-54ff337878,ENTRONQUE MACHO PRENSAR Ø22X1/2 INOX AISI 316,2025-11
ART-d065a40526,00001,
ART-f3888a2c49,00001,
ART-ffe713834d,00001,
ART-1de5b79bae,00001,
ART-4b311ed522,00001,
ART-855e417583,00001,
ART-7400062efa,00001,
ART-36a9ff5896,00001,
ART-5d74ac9645,TE ROSCA H INOX PRENSAR 35*1,
ART-0a356f525a,00001,
ART-0ec1646554,00001,
ART-50f8d5ae68,00001,
ART-53ffde1190,00001,
ART-b5f7ee32ed,Mano Obra - S.T - Ayudante,
ART-71ff22e81e,Mano de Obra - Festivo - Ayudante,
ART-4f7ff240a3,SERVICIO URGENCIA,
ART-f9c2cb87db,SERVICIO URGENCIA FIN DE SEMANA,
ART-75a7848756,SALIDA DE URGENCIA,
ART-ba3b5e6edb,SERVICIO URGENCIA (24h),
ART-e9ca151bd5,Mano Obra + responsabilidad,
ART-0a30cc065f,Mano de Obra - Festivo - Ayudante,
ART-e26d88965b,Media Dieta,2022-06
ART-8b7a1781fc,DESPLAZAMIENTO,2025-05
ART-e8e8535349,Kilometraje,2024-10
ART-ea67827d19,Mano Obra - Nocturna,
ART-957e338ec8,CONTACTO: [person] - [phone] ([person]),2025-10
ART-a4300c5298,Mano Obra - Sabado Mañana,
ART-35def2f578,Mano Obra - Sabado Tarde,
ART-ad0752bd5d,PLUS NOCHE PERNOCTACION EN  HOTEL,
ART-8368e3c5c9,Mano Obra - Festivo,
ART-98c86765ea,Mano Obra - Normal - Ofic.2ª,
ART-8ec9d2277b,Mano Obra - SM - Ofic.2ª,
ART-4222053b29,HORARIO RECEPCION DE PROVEEDORES 8 - 13:30H,2019-12
ART-3174c9ef84,Mano Obra - ST - Ofc.2ª,
ART-830d7d2fc0,REVISION ANUAL AIRE ACONDICIONADO - oficinas [customer],2025-06
ART-63213cf212,SPLIT CASSETTE R32 KOSNER KSTI-24/71 CS PLUS,2023-02
ART-1b95c871b6,UD EXTERIOR R410A KOSNER MULTI 2X1 KSTI M2-18/50 PLUS,
ART-5c4b89c6b1,UD INTERIOR R410A KOSNER MULTI CASSETTE KSTI-12/35 CS/M PLUS,2022-06
ART-19aec86fd3,PANEL INTERIOR R410A CASSETTE KOSNER KSTI-12/18 MULTI 60X60,2022-06
ART-7ef334903c,UD EXTERIOR R410A KOSNER MULTI 3X1 KSTI M3-24/71 PLUS,2022-06
ART-e804091eba,UD EXTERIOR R410A KOSNER MULTI 2X1 KSTI M2-18/50 PLUS,2022-06
ART-dfd54b19d7,BOLSA 4UDS JUEGO AMORTIGUADORES SOPORTE A45 M8,2025-04
ART-4a028fab96,JUEGO 2 SOPORTES SOLDADO A.A. 500X450 E.2MM 110KG,2022-06
ART-fd705e74cd,ROLLO 20M TUBERIA DOBLE AISLADA FRIO 1/4-3/8,2022-06
ART-9789e16e92,CODO DRENAJE SPLITS C/TAPON,2016-02
ART-5097fba701,ML TUBO 3/8-5/8 COBRE AISLADO,2021-08
ART-05bf0431d5,ABRAZADERA ISOFONICA 22 1/2 REFORZADA M8/10,2025-11
ART-12a5886b6e,ABRAZADERA ISOFONICA 28 3/4 REFORZADA M8/10,2025-11
ART-e614021cca,ABRAZADERA ISOFONICA 35 1 REFORZADA M8/10,2025-11
ART-7dff5011ca,ABRAZADERA ISOFONICA 40 11/4 REFORZADA M8/10,2025-10
ART-66447821a4,ABRAZADERA ISOFONICA 48 11/2 REFORZADA M8/10,2025-10
ART-8ce66dce44,ABRAZADERA ISOFONICA 54 REFORZADA M8/10,2025-11
ART-d2a26334f2,ABRAZADERA ISOFONICA 60 2 REFORZADA M8/10,2025-10
ART-ae1077fe32,ABRAZADERA ISOFONICA 70 REFORZADA M8/10,2021-07
ART-cf65046468,ABRAZADERA ISOFONICA 75 21/2 REFORZADA M8/10,2025-11
ART-97babaa124,ABRAZADERA ISOFONICA 83 REFORZADA M8/10,2025-09
ART-fc544dc3be,ABRAZADERA ISOFONICA 90 3 REFORZADA M8/10,2025-10
ART-134676dfbf,ABRAZADERA ISOFONICA 100 31/2 REFORZADA M8/10,2023-11
ART-8893c978f8,ABRAZADERA ISOFONICA 110 REFORZADA M8/10,2025-10
ART-a3740226bf,ABRAZADERA ISOFONICA 125 REFORZADA M8/10,2025-10
ART-8fb86b3e6a,ABRAZADERA ISOFONICA 133 REFORZADA M8/10,2022-03
ART-6cc2a7713d,ABRAZADERA ISOFONICA 140 5 REFORZADA M8/10,2025-10
ART-3b0e8fec48,ABRAZADERA ISOFONICA 150 REFORZADA M8/10,2025-10
ART-1dade5f7a5,ABRAZADERA ISOFONICA 160 6 REFORZADA M8/10,2025-01
ART-2dfdfd2a1c,ABRAZADERA ISOFONICA 180 REFORZADA M8/10,2021-09
ART-e22be6af58,ABRAZADERA ISOFONICA 200 REFORZADA M8/10,2025-10
ART-fb7d258f5c,ABRAZADERA ISOFONICA 250 REFORZADA M8/10,
ART-a6e2983205,ABRAZADERA ISOFONICA 355 REFORZADA M8/10,2022-08
ART-4dbf2ad0c2,ABRAZADERA ISOFONICA 400 REFORZADA M8/10,
ART-349f1f26fa,ABRAZADERA ISOFONICA 500 REFORZADA M8/10,
ART-28478359e9,ABRAZADERA ISOFONICA 18 3/8 REFORZADA M8/10,2025-11
ART-faa46638d8,ABRAZADERA ISOFONICA 15 1/4 REFORZADA M8/10,2025-06
ART-d10bf65c5f,ABRAZADERA ISOFONICA 1 TORNILLO 25-28MM 3/4 M8 WALRAVE,2025-05
ART-8a8fc63c1b,ABRAZADERA ISOFONICA 1 TORNILLO 20-23MM 1/2 M8 WALRAVE,2024-10
ART-5c51ba44f5,ABRAZADERA ISOFONICA 53-58 REFORZADA M10/12,2021-05
ART-c153d8bdf9,ABRAZADERA ISOFONICA 79-85 REFORZADA M10/12,2021-08
ART-a40ca4148d,ABRAZADERA ISOFONICA 116 4 SUPERREFORZADA M10/12,2025-09
ART-f5e82529eb,ABRAZADERA ISOFONICA 140 5 SUPERREFORZADA M10/12,2025-11
ART-bb38257372,ABRAZADERA ISOFONICA 169 6 SUPERREFORZADA M10/12,2025-09
ART-99b90874b6,ABRAZADERA ISOFONICA 227 8 SUPERREFORZADA M10/12,
ART-d770acc8a5,ABRAZADERA ISOFONICA 275 10 SUPERREFORZADA M10/12,
ART-c61755346a,ABRAZADERA ISOFONICA 15 1 REFORZADA M8/10,2025-06
ART-9e02f02687,ABRAZADERA ISOFONICA 1 TORNILLO  50 M8 WALRAVE,2023-02
ART-ff52696aaf,BTM TORNILLO CARRIL STRUT M10X40,2025-11
ART-c7fd946ce4,PACK 50 UD ABRAZADERAS ISOFONICA REFORZADA 2 M8/10,
ART-7ecb65ac98,ABRAZADERA ISOFONICA REFORZADA 2 M8/10 28 3/4,2025-11
ART-8597504d2d,"MTB 2UDS HOJA SIERRA SABLE BIM 225X0,9 S1122BF",2024-07
ART-a694545d6d,ABRAZADERA ISOFONICA 110 4 SUPERREFORZADA M10/12,2025-09
ART-bbb6d88a9c,ABRAZADERA ISOFONICA 1 TORNILLO 18MM 3/8 M8 WALRAVE,2025-08
ART-54359707a9,ABRAZADERA ISOFONICA 1 TORNILLO 18MM 3/8 M8,2025-09
ART-7992cbcec6,ABRAZADERA ISOFONICA 160 SUPERREFORZADA M12/16,2025-10
ART-09b9947e89,ABRAZADERA ISOFONICA 220 SUPERREFORZADA M12/16,2025-10
ART-a944a01cf2,ABRAZADERA ISOFONICA 12 AISLANTE TERMICA M8/10 - 5100050002 -,
ART-dfbccc3f52,ABRAZADERA 18 3/8 REFORZADA M8/10,2024-11
ART-e51c87602f,ABRAZADERA 22 1/2 REFORZADA M8/10,2024-11
ART-b06f3d51d2,ABRAZADERA 28 3/4 REFORZADA M8/10,2024-11
ART-1a45011feb,ABRAZADERA 35 1 REFORZADA M8/10,2025-04
ART-c1fce5128d,ABRAZADERA 40 11/4 REFORZADA M8/10,2024-12
ART-21b1a43e35,ABRAZADERA 48 11/2 REFORZADA M8/10,2025-02
ART-36ea6f75c5,ABRAZADERA 54 REFORZADA M8/10,2024-11
ART-ff72b44d27,ABRAZADERA 60 2 REFORZADA M8/10,2025-08
ART-9740842463,ABRAZADERA 70 REFORZADA M8/10,
ART-3363bd4793,ABRAZADERA 75 21/2 REFORZADA M8/10,2023-01
ART-8290362437,ABRAZADERA 80 REFORZADA M8/10,2022-11
ART-7d63afd7d6,ABRAZADERA 90 3 REFORZADA M8/10,2023-07
ART-a2c07eb517,ABRAZADERA 100 31/2 REFORZADA M8/10,2017-02
ART-7d3b162b72,ABRAZADERA 110 REFORZADA M8/10,2025-01
ART-f368431114,ABRAZADERA 115 4 REFORZADA M8/10,2021-07
ART-b6ebcd9d05,ABRAZADERA 125 REFORZADA M8/10,2022-12
ART-a4101086fa,ABRAZADERA 140 5 REFORZADA M8/10,2025-10
ART-241bb13d52,ABRAZADERA 150 REFORZADA M8/10,2024-09
ART-9cc98dd9a6,ABRAZADERA PUNTO FIJO FS Ø57 SIKLA,2024-07
ART-a610a7826a,ABRAZADERA 200 REFORZADA M8/10,2024-11
ART-bca726bdd7,ABRAZADERA 250 REFORZADA M8/10,2025-02
ART-9ac67f1c4a,ABRAZADERA 300 REFORZADA M8/10,
ART-ea213967e0,ABRAZADERA 315 REFORZADA M8/10,2025-04
ART-a2a2f15b30,ABRAZADERA 355 REFORZADA M8/10,2016-01
ART-c07b5b768a,ABRAZADERA 400 REFORZADA M8/10,
ART-d98918100d,ABRAZADERA 500 REFORZADA M8/10,
ART-db403cd744,ABRAZADERA 600 REFORZADA M8/10,2023-04
ART-f27be7fc14,ABRAZADERA 180 REFORZADA M8/10,2018-11
ART-d9666f0dd4,"ABRAZADERA PUNTO FIJO FS Ø33,7 SIKLA",2024-05
ART-7db730ba62,"ABRAZADERA PUNTO FIJO FS Ø26,9 SIKLA",2024-05
ART-29e9ff6513,"ABRAZADERA PUNTO FIJO FS Ø21,3 SIKLA",2024-07
ART-d4adadf04b,CONJUNTO MONTAJE VP AB M12 SIKLA,2024-07
ART-fa4de8ec42,"ROLLO 10M CINTA PERFORADA 12X0,8 GALVANIZADA",2019-01
ART-ef2f3b7abc,"ROLLO 10M CINTA PERFORADA 17X0,8 GALVANIZADA",2023-06
ART-3dd4b01859,"ROLLO 1,5M CINTA PERFORADA 17X0,8 PLASTIFICADA BLANCA",
ART-4d116d479e,CENTRALIZADOR 100*40*50,2025-11
ART-1e39d97f80,CENTRALIZADOR 125*40*50,2025-10
ART-bf7b617406,CENTRALIZADOR 200X40X50,2025-09
ART-6a79aa427d,CENTRALIZADOR 300X40X50,2025-10
ART-870830c56d,CENTRALIZADOR 400X40X50,2025-09
ART-cd8948ce7c,CENTRALIZADOR 500X40X50,2025-11
ART-c27c5af9c1,CENTRALIZADOR 600X40X50,2023-06
ART-91cea6077b,CENTRALIZADOR 100X40X100 INTERIOR,2025-11
ART-e020bc70f2,CENTRALIZADOR 125X40X100 INTERIOR,2025-11
ART-82536d014d,CENTRALIZADOR 200X40X100 INTERIOR,2025-01
ART-d92148ab86,CENTRALIZADOR 300X40X100 INTERIOR,2025-06
ART-e9263c765f,CENTRALIZADOR 400X40X100 INTERIOR,2025-11
ART-19d25a1d7e,CENTRALIZADOR ESCUADRA 185X40X50,2020-08
ART-2289ef6467,CENTRALIZADOR ESCUADRA 270X40X50,2022-12
ART-faba542a9f,CENTRALIZADOR ESCUADRA 350X40X50,2018-11
ART-d85d6035de,SOPORTE CENTRALIZADOR ESCUADRA 185*40*50 ESPESOR 5,2020-06
ART-3f07d5c2be,SOPORTE CENTRALIZADOR ESCUADRA 350*40*50 ESPESOR 5,2024-01
ART-07075ae3b0,SOPORTE CENTRALIZADOR ESCUADRA 100*40*50 ESPESOR 5,2025-08
ART-22aee00c0c,SOPORTE CENTRALIZADOR ESCUADRA 300*40*50 ESPESOR 5,2024-08
ART-0957ff7c13,SOPORTE CENTRALIZADOR ESCUADRA 200*40*50 ESPESOR 5,2024-03
ART-82e901e831,SOPORTE CENTRALIZADOR ESCUADRA 600*40*50 ESPESOR,2021-12
ART-bf79b19e3b,SOPORTE CENTRALIZADOR ESCUADRA 500*40*50 ESPESOR 6,2025-05
ART-fdb11d3120,PLETINA FIJACION M8/10,2021-03
ART-9caac99a41,SOPORTE CENTRALIZADOR ESCUADRA 200*40*100 ESPESOR 5,2022-09
ART-0a7b392b5c,SOPORTE ISOFONICO 4 AGUJEROS,2021-10
ART-d1241a483b,CENTRALIZADOR 500X40X100 INTERIOR,
ART-d65c0a70f7,ABARCON 1/2 22 M8,2025-08
ART-5c2789386a,ABARCON 3/4 28 M8,2025-08
ART-ae58df3bae,ABARCON 1 35 M8,2025-10
ART-e1bbf4f814,ABARCON 11/4 40 M8,2024-02
ART-4b558605b0,ABARCON 11/2 48 M8,2025-06
ART-cfc0d3cbac,ABARCON 2 60 M8,2025-05
ART-88ec01208c,ABARCON 21/2 75 M8,2025-06
ART-878f745315,ABARCON 3 90 M8,2025-09
ART-1c99ae0fc1,ABARCON 4 115 M8,2023-10
ART-0174a587b6,ABARCON 5 140 M10,2024-09
ART-ada1f27d70,ABARCON 6 160 M10,2024-09
ART-5adc734acf,ABARCON 8 220 M8,2022-09
ART-ad5f6da5fd,ABARCON 10 273 M12,
ART-10e5411d49,"ABARCON 12 323,9 M12",2022-08
ART-bacac15015,"ABARCON 16 406,4 M12",2016-02
ART-68f35fad17,ABARCON 3/8 16 M6,
ART-8ebe6303a6,ABARCON 8 220 M10,2025-09
ART-fbb3d14cf0,ABRAZADERA COLGANTE 3/4 PERA M8,
ART-aea7fe8205,ABRAZADERA COLGANTE 1 PERA M8,2023-03
ART-7763cbc05c,ABRAZADERA COLGANTE 11/4 PERA M8,
ART-3bbd6dd33d,ABRAZADERA COLGANTE 11/2 PERA M8,2023-10
ART-c84e91f356,ABRAZADERA COLGANTE 2 PERA M8,2019-05
ART-635e615dd7,ABRAZADERA COLGANTE 21/2 PERA M10,
ART-4416cfdbce,ABRAZADERA COLGANTE 3 PERA M10,2016-05
ART-a17326b79d,ABRAZADERA COLGANTE 4 PERA M10,
ART-6b509c3cf7,ABRAZADERA COLGANTE 6 PERA M10,
ART-e465c5fe5d,ABRAZADERA COLGANTE 8 PERA M12,2019-09
ART-91339d5766,ABRAZADERA COLGANTE 5 PERA M10,2015-11
ART-5cae774e78,ABRAZADERA COLGANTE 1/2 PERA M8,2023-10
ART-02d8b4f61d,ABRAZADERA ISOFONICA 22 1/2 REFORZADA AMARILLA M8/10,2023-07
ART-7797c5482f,ABRAZADERA ISOFONICA 28 3/4 REFORZADA AMARILLA M8/10,2025-09
ART-107b7aaa74,ABRAZADERA ISOFONICA 35 1 REFORZADA AMARILLA M8/10,2024-01
ART-8e7939c2e2,ABRAZADERA ISOFONICA 35 11/4 REFORZADA AMARILLA M8/10,2017-08
ART-94a03fa0b3,ABRAZADERA ISOFONICA 54 REFORZADA AMARILLA M8/10,2021-10
ART-f1ae6ddd69,ABRAZADERA 18 3/8 REFORZADA AMARILLA M8/10,2020-11
ART-05f32c9a5f,ABRAZADERA 22 1/2 REFORZADA AMARILLA M8/10,
ART-f421c78795,ABRAZADERA 28 3/4 REFORZADA AMARILLA M8/10,2019-03
ART-8e19eaa301,ABRAZADERA 35 1 REFORZADA AMARILLA M8/10,
ART-69e3879e2f,ABRAZADERA 40 11/4 REFORZADA AMARILLA M8/10,2021-02
ART-3ac21009be,ABRAZADERA 48 11/2 REFORZADA AMARILLA M8/10,
ART-b356983681,ABRAZADERA 54 REFORZADA AMARILLA M8/10,
ART-6e80f28820,ABRAZADERA 60 2 REFORZADA AMARILLA M8/10,
ART-134b1e44a3,ABRAZADERA 75 21/2 REFORZADA AMARILLA M8/10,
ART-8f9fb0eb0b,ABRAZADERA 90 3 REFORZADA AMARILLA M8/10,
ART-00a6affd8d,ABRAZADERA 100 31/2 REFORZADA AMARILLA M8/10,
ART-bce954e960,ABRAZADERA 115 4 REFORZADA AMARILLA M8/10,
ART-0500aa9226,ABRAZADERA 140 5 REFORZADA AMARILLA M8/10,
ART-1cc449f085,ABRAZADERA ISOFONICA 12 1/4 LIGERA M6,2025-10
ART-130b0ce198,ABRAZADERA 10 1/8 APERTURA LATERAL M6,2015-07
ART-24f7af1f4d,ABRAZADERA 12 1/4 APERTURA LATERAL M6,2024-09
ART-7bcf4e9f54,ABRAZADERA 14 APERTURA LATERAL M6,
ART-3377c76842,ABRAZADERA 15 APERTURA LATERAL M6,2022-10
ART-70436797ba,ABRAZADERA 16 APERTURA LATERAL M6,2023-10
ART-20d2a11e80,ABRAZADERA 18 3/8 APERTURA LATERAL M6,2024-12
ART-6d525c4f8e,ABRAZADERA 20 APERTURA LATERAL M6,2025-10
ART-928ad06193,ABRAZADERA 22 1/2 APERTURA LATERAL M6,2025-09
ART-bba29f9d93,ABRAZADERA 25 APERTURA LATERAL M6,2020-11
ART-37eb3e41c7,ABRAZADERA 26 3/4 APERTURA LATERAL M6,
ART-38ec72ac2e,ABRAZADERA 28 APERTURA LATERAL M6,2015-10
ART-402b547af1,ABRAZADERA 32 1 APERTURA LATERAL M6,2025-02
ART-6239589358,ABRAZADERA 35 APERTURA LATERAL M6,
ART-ac74617275,ABRAZADERA 37 APERTURA LATERAL M6,
ART-a93f6f64ec,ABRAZADERA 40 APERTURA LATERAL M6,2025-08
ART-32cceccb94,ABRAZADERA 42 11/4 APERTURA LATERAL M6,
ART-9a5b388730,ABRAZADERA 50 APERTURA LATERAL M6,2025-09
ART-bdd62725a7,ABRAZADERA 54 APERTURA LATERAL M6,2016-09
ART-c49cc280cd,ABRAZADERA 60 2 APERTURA LATERAL M6,2023-05
ART-e5e4247bfe,ABRAZADERA 63 APERTURA LATERAL M6,
ART-3e00ec37c7,ABRAZADERA DOBLE 12 1/4 M6,
ART-9a82fd3f76,ABRAZADERA DOBLE 14-15 1/4 M6,2024-01
ART-90c806e8b1,ABRAZADERA DOBLE 18 3/8 M6,2024-01
ART-21fe1f397d,ABRAZADERA DOBLE 20 M6,2023-07
ART-17c93aed29,ABRAZADERA DOBLE 22 1/2 M6,2020-03
ART-9e1b0a56ce,ABRAZADERA DOBLE 28 3/4 M6,
ART-322ca562e8,ABRAZADERA 10 1/8 LATON CROMADO 2 TORNILLOS M6 - 5101011010,2025-02
ART-b4d541ea69,GRAPA 10 1/8,2018-10
ART-329779c13e,GRAPA 12 1/4,2022-12
ART-24e2340032,GRAPA 15,2018-05
ART-dab2167c06,GRAPA 18,2019-06
ART-6b30d901ed,GRAPA 20 1/2,2022-09
ART-78ea67ff97,GRAPA 22,2022-12
ART-7462bf6954,GRAPA 25,2021-03
ART-372b34a337,GRAPA 28,2022-11
ART-3ef12f685b,GRAPA 32 1,2024-10
ART-a8f9711259,GRAPA 50,2018-07
ART-600bffba32,GRAPA 6,2018-10
ART-709fab1568,GRAPA PUENTE 8,2020-10
ART-9c10bb5141,GRAPA PUENTE 25,2021-05
ART-5bc5d15a1d,ABRAZADERA GAS 18 PLASTIFICADA NEGRA,2021-02
ART-3c97fbaf60,ABRAZADERA GAS 22 PLASTIFICADA NEGRA,2025-06
ART-64182e5f0e,ABRAZADERA GAS 28 3/4 PLASTIFICADA NEGRA,2022-06
ART-2114660655,ABRAZADERA GAS 18 3/8 PLASTIFICADA AMARILLA,
ART-ce5dd6de3b,ABRAZADERA GAS 22 1/2 PLASTIFICADA AMARILLA,
ART-8b49d23aee,ABRAZADERA GAS 35 PLASTIFICADA AMARILLA,
ART-7461c2d0f4,ABRAZADERA SIN FIN 8-16,2025-05
ART-7e7e8d0285,ABRAZADERA SIN FIN 12-20,2025-10
ART-e8181461c3,ABRAZADERA SIN FIN 18-25,2025-10
ART-c13ae0510c,ABRAZADERA SIN FIN 20-32,2025-10
ART-d210a6f275,ABRAZADERA SIN FIN 25-40,2025-10
ART-8d09d3cfde,ABRAZADERA SIN FIN 35-50,2019-04
ART-111468efe4,ABRAZADERA SIN FIN 40-60,2025-11
ART-86fef07f6a,ABRAZADERA SIN FIN 50-70,2025-02
ART-1aa2d5ed21,ABRAZADERA SIN FIN 60-80,2024-05
ART-b66aef0c04,ABRAZADERA SIN FIN 70-90,2022-03
ART-bc82e34d60,ABRAZADERA SIN FIN 80-100,2019-11
ART-cf066d70c3,ABRAZADERA SIN FIN 100-120,2024-11
ART-ec3409f6dc,ABRAZADERA SIN FIN 110-130,
ART-0ee453f11e,ABRAZADERA SIN FIN 120-140,
ART-8c6395b23a,ABRAZADERA SIN FIN 140-160,
ART-523ec43917,ROLLO AUTOBLOCK CINTA+TORNILLOS,2023-11
ART-f8cd8cda54,ABRAZADERA SIN FIN 200-220,2022-05
ART-c0b3e41d91,ABRAZADERA SIN FIN 150-170,2022-05
ART-496eef6d78,ABRAZADERA SIN FIN 16-27,2024-07
ART-aeb69c4485,CIERRE 9MM PARA KIT ABRAZADERA SIN FIN,2025-01
ART-4fd8747ba6,ABRAZADERA MANGUERA 17-19 GRAN PRESION,2023-10
ART-f35c815ef2,ABRAZADERA MANGUERA 20-22 GRAN PRESION,2025-09
ART-654b930420,ABRAZADERA MANGUERA 23-25 GRAN PRESION,2025-11
ART-c4244c5b56,ABRAZADERA MANGUERA 26-28 GRAN PRESION,2025-06
ART-844887e318,ABRAZADERA MANGUERA 29-31 GRAN PRESION,2022-08
ART-a78b18358b,ABRAZADERA MANGUERA 32-35 GRAN PRESION,2024-10
ART-829bf20428,ABRAZADERA MANGUERA 36-39 GRAN PRESION,2018-03
ART-a0a447a756,ABRAZADERA MANGUERA 40-43 GRAN PRESION,2025-05
ART-ad86f3a013,ABRAZADERA MANGUERA 44-47 GRAN PRESION,2025-03
ART-40ce4c6647,ABRAZADERA MANGUERA 48-51 GRAN PRESION,2024-10
ART-b5ac77f2e4,ABRAZADERA MANGUERA 52-55 GRAN PRESION,2022-08
